Date,Open,High,Low,Close,Adj Close,Volume
2000-06-29,10.030000,10.030000,10.030000,10.030000,5.722992,0
2000-06-30,10.040000,10.040000,10.040000,10.040000,5.728699,0
2000-07-03,10.060000,10.060000,10.060000,10.060000,5.740107,0
2000-07-05,10.070000,10.070000,10.070000,10.070000,5.745816,0
2000-07-06,10.070000,10.070000,10.070000,10.070000,5.745816,0
2000-07-07,10.090000,10.090000,10.090000,10.090000,5.757228,0
2000-07-10,10.080000,10.080000,10.080000,10.080000,5.751523,0
2000-07-11,10.080000,10.080000,10.080000,10.080000,5.751523,0
2000-07-12,10.080000,10.080000,10.080000,10.080000,5.751523,0
2000-07-13,10.090000,10.090000,10.090000,10.090000,5.757228,0
2000-07-14,10.080000,10.080000,10.080000,10.080000,5.751523,0
2000-07-17,10.070000,10.070000,10.070000,10.070000,5.745816,0
2000-07-18,10.090000,10.090000,10.090000,10.090000,5.757228,0
2000-07-19,10.080000,10.080000,10.080000,10.080000,5.751523,0
2000-07-20,10.100000,10.100000,10.100000,10.100000,5.762935,0
2000-07-21,10.100000,10.100000,10.100000,10.100000,5.762935,0
2000-07-24,10.100000,10.100000,10.100000,10.100000,5.762935,0
2000-07-25,10.110000,10.110000,10.110000,10.110000,5.768638,0
2000-07-26,10.110000,10.110000,10.110000,10.110000,5.768638,0
2000-07-27,10.110000,10.110000,10.110000,10.110000,5.768638,0
2000-07-28,10.110000,10.110000,10.110000,10.110000,5.768638,0
2000-07-31,10.120000,10.120000,10.120000,10.120000,5.774343,0
2000-08-01,10.130000,10.130000,10.130000,10.130000,5.780051,0
2000-08-02,10.140000,10.140000,10.140000,10.140000,5.785758,0
2000-08-03,10.140000,10.140000,10.140000,10.140000,5.785758,0
2000-08-04,10.150000,10.150000,10.150000,10.150000,5.791461,0
2000-08-07,10.150000,10.150000,10.150000,10.150000,5.791461,0
2000-08-08,10.140000,10.140000,10.140000,10.140000,5.785758,0
2000-08-09,10.140000,10.140000,10.140000,10.140000,5.785758,0
2000-08-10,10.150000,10.150000,10.150000,10.150000,5.791461,0
2000-08-11,10.160000,10.160000,10.160000,10.160000,5.797168,0
2000-08-14,10.150000,10.150000,10.150000,10.150000,5.791461,0
2000-08-15,10.140000,10.140000,10.140000,10.140000,5.785758,0
2000-08-16,10.130000,10.130000,10.130000,10.130000,5.780051,0
2000-08-17,10.140000,10.140000,10.140000,10.140000,5.785758,0
2000-08-18,10.140000,10.140000,10.140000,10.140000,5.785758,0
2000-08-21,10.150000,10.150000,10.150000,10.150000,5.791461,0
2000-08-22,10.160000,10.160000,10.160000,10.160000,5.797168,0
2000-08-23,10.170000,10.170000,10.170000,10.170000,5.802875,0
2000-08-24,10.180000,10.180000,10.180000,10.180000,5.808579,0
2000-08-25,10.190000,10.190000,10.190000,10.190000,5.814286,0
2000-08-28,10.190000,10.190000,10.190000,10.190000,5.814286,0
2000-08-29,10.190000,10.190000,10.190000,10.190000,5.814286,0
2000-08-30,10.180000,10.180000,10.180000,10.180000,5.808579,0
2000-08-31,10.190000,10.190000,10.190000,10.190000,5.814286,0
2000-09-01,10.210000,10.210000,10.210000,10.210000,5.825697,0
2000-09-05,10.210000,10.210000,10.210000,10.210000,5.825697,0
2000-09-06,10.210000,10.210000,10.210000,10.210000,5.825697,0
2000-09-07,10.200000,10.200000,10.200000,10.200000,5.819995,0
